variant,label,sample_count,retrieval_hit_rate_at_1,retrieval_hit_rate_at_3,integration_string_similarity,integration_focus_f1,integration_quality,complex_quality,latency_p50_ms,latency_p95_ms
ours_router_4_6,Ours（分项重排 + 覆盖取证 + 按题作答）,40,0.9,0.975,0.5138,0.5809,0.6751,0.6751,3557.47,7832.38
trace_method_4_6,TRACE 方法（透明三段式生成）,40,0.9,0.975,0.4656,0.4886,0.647,0.647,7438.45,8980.31
